,FacilityName,FacilityAddress,Borough,Postcode,Latitude,Longitude,Community Board,Community Council ,Census Tract,BIN,BBL,NTA
28,Engine 65,33 West 43rd Street,Manhattan,10036.0,40.754676,-73.98161,5.0,4.0,96.0,1076256.0,1012590018.0,Midtown-Midtown South                                                      
29,Engine 8 / Ladder 2 / Battalion 8,167 East 51st Street,Manhattan,10022.0,40.756812,-73.971142,6.0,4.0,100.0,1036462.0,1013060033.0,Turtle Bay-East Midtown                                                    
30,Engine 39/Ladder 16,157-59 East 67th Street,Manhattan,10065.0,40.76696,-73.963856,8.0,4.0,120.0,1072190.0,1014020029.0,Upper East Side-Carnegie Hill                                              
31,Engine 44,221 East 75th Street,Manhattan,10021.0,40.771427,-73.95852099999999,8.0,4.0,134.0,1044059.0,1014300010.0,Lenox Hill-Roosevelt Island                                                
32,Engine 22/Ladder 13/Battalion 10,159 East 85th Street,Manhattan,10028.0,40.778584,-73.955516,8.0,5.0,14801.0,1047937.0,1015140027.0,Upper East Side-Carnegie Hill                                              
33,Engine 58/Ladder 26,1367 5th Avenue,Manhattan,10029.0,40.798873,-73.94775899999999,11.0,9.0,184.0,1080501.0,1016180001.0,East Harlem North                                                          
34,Engine 53/Ladder 43,1836-46 3rd  Avenue,Manhattan,10029.0,40.788714,-73.946774,11.0,8.0,166.0,1051850.0,1016290040.0,East Harlem South                                                          
35,Engine 91,242 East 111th Street,Manhattan,10029.0,40.794327,-73.941345,11.0,8.0,180.0,1052473.0,1016600030.0,East Harlem North                                                          
36,Engine 35/Ladder 14,2282 3rd Avenue,Manhattan,10035.0,40.803129,-73.93624399999999,11.0,8.0,196.0,1054465.0,1017730033.0,East Harlem North                                                          
37,Engine 76/Ladder 22/Battalion 11,145-51 West 100th Street,Manhattan,10025.0,40.795924,-73.966726,7.0,7.0,189.0,1055910.0,1018550005.0,Upper West Side                                                            
38,Engine 47,502 West 113th Street,Manhattan,10025.0,40.805068,-73.962929,9.0,7.0,199.0,1057000.0,1018840039.0,Morningside Heights                                                        
39,Engine 59/Ladder 30,111 West 133rd Street,Manhattan,10030.0,40.813057,-73.942358,10.0,9.0,226.0,1058225.0,1019180024.0,Central Harlem North-Polo Grounds                                          
40,Engine 37/Ladder 40,415 West 125th Street,Manhattan,10027.0,40.81177,-73.954858,9.0,7.0,20901.0,1059547.0,1019660061.0,Morningside Heights                                                        
41,Engine 69/Ladder 28/Battalion 16,248 West 143rd Street,Manhattan,10030.0,40.821104999999996,-73.941849,10.0,9.0,232.0,1075491.0,1020280051.0,Central Harlem North-Polo Grounds                                          
42,Engine 80/Ladder 23,503 West 139th Street,Manhattan,10031.0,40.821585999999996,-73.950689,9.0,7.0,225.0,1075504.0,1020710027.0,Hamilton Heights                                                           
43,Engine 84/Ladder 34,513 West 161st Street,Manhattan,10032.0,40.835640000000005,-73.94085600000001,12.0,7.0,245.0,1062872.0,1021200046.0,Washington Heights South                                                   
